Name: TVBS亚洲, URL: http://38.64.72.148/hls/modn/list/4005/playlist.m3u8, Date: None, Resolution: None, Response Time: 6189ms
Name: 民视新闻, URL: http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8, Date: None, Resolution: None, Response Time: 6195ms
Name: 台视新闻, URL: http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8, Date: None, Resolution: None, Response Time: 6196ms
Name: 东森新闻美洲台, URL: http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8, Date: None, Resolution: None, Response Time: 1353ms
Name: 华语电视, URL: http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8, Date: None, Resolution: None, Response Time: 1362ms
Name: 华语电视, URL: http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8, Date: None, Resolution: None, Response Time: 1363ms
Name: TBS, URL: http://143.244.60.30/TBS/index.m3u8, Date: None, Resolution: None, Response Time: 3489ms
Name: TBS (540p), URL: http://143.244.60.30/TBS/index.m3u8, Date: None, Resolution: None, Response Time: 631ms
Name: Locomotion, URL: http://51.222.85.85:81/hls/loco/index.m3u8, Date: None, Resolution: None, Response Time: 4559ms
Name: KBC SBS 综艺, URL: http://119.200.131.11:1935/KBCTV/tv/playlist.m3u8, Date: None, Resolution: None, Response Time: 6270ms
Name: 三立戏剧台, URL: http://61.221.215.25:8800/hls/41/index.m3u8, Date: None, Resolution: None, Response Time: 6305ms
Name: 八大综合台, URL: http://61.221.215.25:8800/hls/56/index.m3u8, Date: None, Resolution: None, Response Time: 6307ms
Name: NHK, URL: http://61.221.215.25:8800/hls/51/index.m3u8, Date: None, Resolution: None, Response Time: 6286ms
Name: 八大第1台, URL: http://61.221.215.25:8800/hls/55/index.m3u8, Date: None, Resolution: None, Response Time: 6310ms
Name: 纬来精采, URL: http://61.221.215.25:8800/hls/48/index.m3u8, Date: None, Resolution: None, Response Time: 6307ms
Name: 番薯, URL: http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8, Date: None, Resolution: None, Response Time: 1653ms
Name: 番薯, URL: http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8, Date: None, Resolution: None, Response Time: 1655ms
Name: 八大综合台, URL: http://61.221.215.25:8800/hls/56/index.m3u8, Date: None, Resolution: None, Response Time: 3141ms
Name: TVBSNEWS, URL: http://61.221.215.25:8800/hls/9/index.m3u8, Date: None, Resolution: None, Response Time: 3144ms
Name: 八大第1台, URL: http://61.221.215.25:8800/hls/55/index.m3u8, Date: None, Resolution: None, Response Time: 3144ms
Name: aHa, URL: http://61.221.215.25:8800/hls/50/index.m3u8, Date: None, Resolution: None, Response Time: 3147ms
Name: 纬来精采, URL: http://61.221.215.25:8800/hls/48/index.m3u8, Date: None, Resolution: None, Response Time: 3143ms
Name: 安徽影视频道, URL: http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8, Date: None, Resolution: None, Response Time: 5415ms
Name: 安徽经济生活频道, URL: http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8, Date: None, Resolution: None, Response Time: 5417ms
Name: Hindi Hits HD, URL: http://146.59.253.52:8080/hindihitshd/index.m3u8, Date: None, Resolution: None, Response Time: 3498ms
Name: 安徽综艺体育频道, URL: http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8, Date: None, Resolution: None, Response Time: 5418ms
